Kecamatan,Pegawai Negeri Sipil,Perdagangan,Karyawan Swasta,Buruh Harian Lepas,Belum/Tidak Bekerja,Mengurus Rumah Tangga,Pensiunan,Wiraswasta
CAKUNG,4025,53,128786,6717,78927,90436,3711,35085
CEMPAKA PUTIH,2033,16,25329,1502,12356,16872,2012,5108
CENGKARENG,1876,37,151164,9177,79227,96499,2214,24088
CILANDAK,3751,23,56942,1304,28360,36415,3602,12918
CILINCING,2660,34,85578,16732,68235,75565,2179,24013
CIPAYUNG,5651,35,54535,2698,37429,44544,2543,16315
CIRACAS,4816,30,67089,3898,43314,51699,3387,17068
DUREN SAWIT,9012,18,93671,7122,56561,69869,9938,29848
GAMBIR,960,14,29336,1479,12723,19917,820,4909
GROGOL PETAMBURAN,1332,39,70669,2872,30267,45496,2571,16884
JAGAKARSA,5674,25,71079,5424,46780,56753,3744,17490
JATINEGARA,3706,48,71490,8445,45921,61591,4118,24657
JOHAR BARU,1253,41,28992,5429,20816,27985,1036,10917
KALI DERES,1372,149,102379,10777,64990,76285,1667,21176
KEBAYORAN BARU,2158,17,44868,1835,19880,26221,2694,8452
KEBAYORAN LAMA,3816,38,79346,4354,42613,54534,4184,24118
KEBON JERUK,2790,139,81991,5039,47889,62002,3549,28085
KELAPA GADING,1242,1,35633,873,16266,24371,3163,9781
KEMAYORAN,3063,101,64206,4971,34824,46686,3345,13840
KEMBANGAN,3138,46,66299,3024,38008,48904,3159,21314
KEP. SERIBU SLT,164,14,189,60,2081,2280,24,310
KEP. SERIBU UTR,276,8,428,293,3219,3610,21,237
KOJA,2068,6,67804,14360,56529,65723,2334,20653
KRAMAT JATI,4571,21,65595,4282,44237,53530,3815,22563
MAKASAR,4130,9,47453,3828,30479,36087,3518,11577
MAMPANG PRAPATAN,1352,12,41887,2278,21957,27693,1360,10761
MATRAMAN,3564,23,45411,4051,26618,34762,3234,12631
MENTENG,1057,16,20743,2666,11860,17882,1072,6463
PADEMANGAN,410,24,46410,5643,25139,32242,531,10179
PALMERAH,2507,76,56334,5304,32165,41658,2256,15756
PANCORAN,2304,8,43077,2068,23276,28746,2302,10143
PASAR MINGGU,6338,29,77397,3949,46371,53955,4601,18791
PASAR REBO,4426,12,45828,2986,33846,37064,2770,12479
PENJARINGAN,329,21,75539,7475,42127,62229,1355,27009
PESANGGRAHAN,3131,46,63173,2253,33779,40840,3398,15708
PULO GADUNG,5308,12,75005,4444,41053,53194,5331,22101
SAWAH BESAR,353,5,37982,3196,16742,27838,629,8576
SENEN,1200,19,29751,3522,17438,24427,1059,8921
SETIA BUDI,1194,39,31151,1707,16246,21653,1278,8118
TAMAN SARI,191,85,41549,2189,17519,27997,801,8415
TAMBORA,440,72,74990,7298,38165,56271,839,19573
TANAH ABANG,1684,43,39702,2839,24251,32662,1641,16908
TANJUNG PRIOK,2767,16,97245,11836,62611,78126,3670,25265
TEBET,3492,16,61816,4275,32406,44148,3972,15240
